PerplexityValues at different iterations till convergence
Iteration: 1 | Perplexity: 80012.1601543
Iteration: 2 | Perplexity: 86873.857518
Iteration: 3 | Perplexity: 72745.8322851
Iteration: 4 | Perplexity: 75797.2689789
Iteration: 5 | Perplexity: 69517.1536999
Iteration: 6 | Perplexity: 71873.665275
Iteration: 7 | Perplexity: 68400.1608001
Iteration: 8 | Perplexity: 70038.424682
Iteration: 9 | Perplexity: 68007.4902791
Iteration: 10 | Perplexity: 69122.731813
Iteration: 11 | Perplexity: 67830.8608758
Iteration: 12 | Perplexity: 68640.1974359
Iteration: 13 | Perplexity: 67760.8021686
Iteration: 14 | Perplexity: 68338.4092342
Iteration: 15 | Perplexity: 67751.9522874
Iteration: 16 | Perplexity: 68150.1488692
Iteration: 17 | Perplexity: 67751.2529183
Iteration: 18 | Perplexity: 68036.2805226
Iteration: 19 | Perplexity: 67756.984684
Iteration: 20 | Perplexity: 67960.3544832
Iteration: 21 | Perplexity: 67767.2140786
Iteration: 22 | Perplexity: 67909.8728766
Iteration: 23 | Perplexity: 67775.7548667
Iteration: 24 | Perplexity: 67877.2373315
Iteration: 25 | Perplexity: 67782.6724905
Iteration: 26 | Perplexity: 67855.1255439
Iteration: 27 | Perplexity: 67788.7127819
Iteration: 28 | Perplexity: 67839.9928498
Iteration: 29 | Perplexity: 67793.3846574
Iteration: 30 | Perplexity: 67829.8509187
Iteration: 31 | Perplexity: 67796.8717735
Iteration: 32 | Perplexity: 67822.9143175
Iteration: 33 | Perplexity: 67799.5822275
Iteration: 34 | Perplexity: 67818.0969294
Iteration: 35 | Perplexity: 67801.6111187
Iteration: 36 | Perplexity: 67814.7991007
Iteration: 37 | Perplexity: 67803.096508
Iteration: 38 | Perplexity: 67812.5136683
Iteration: 39 | Perplexity: 67804.2043842
Iteration: 40 | Perplexity: 67810.9187013
Iteration: 41 | Perplexity: 67805.0182906
Iteration: 42 | Perplexity: 67809.8087648
Iteration: 43 | Perplexity: 67805.611607
Iteration: 44 | Perplexity: 67809.0336376
Iteration: 45 | Perplexity: 67806.0447655
Iteration: 46 | Perplexity: 67808.4887411
Iteration: 47 | Perplexity: 67806.3605278
Iteration: 48 | Perplexity: 67808.1067701
Iteration: 49 | Perplexity: 67806.5895895
Iteration: 50 | Perplexity: 67807.8380223
Iteration: 51 | Perplexity: 67806.756036
Iteration: 52 | Perplexity: 67807.6486676
Iteration: 53 | Perplexity: 67806.8764662
Iteration: 54 | Perplexity: 67807.5150567
Iteration: 55 | Perplexity: 67806.9637084
Iteration: 56 | Perplexity: 67807.4205475
Iteration: 57 | Perplexity: 67807.0267662
Iteration: 58 | Perplexity: 67807.3537085
Iteration: 59 | Perplexity: 67807.0722673
